"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 19:07:33 IST 2022","Fri Sep 30 19:08:04 IST 2022","30764","Dsuite","Test","Tests.TemplateTest","Tests.TemplateTest","verifyTheTotalCountOfTemplatesinUserTab","verify_validation_type_as_check_total_count_on_usertab","verify user able to check the total count on user tab"
"passed","Mon Oct 03 10:56:11 IST 2022","Mon Oct 03 10:56:24 IST 2022","12622","Default Suite","IntilliDoc_Product_JAN2022","Tests.AuditTest","Tests.AuditTest","m1","verify Text Of Audit Tab","verify Text Of Audit Tab"
"passed","Mon Oct 03 09:59:29 IST 2022","Mon Oct 03 09:59:29 IST 2022","272","Dsuite","Test","Tests.LoginTest","Tests.LoginTest","testloginfunctinality","test_login_functinality","verification_test_log_in_functinality"
"broken","Fri Sep 30 12:28:56 IST 2022","Fri Sep 30 12:28:56 IST 2022","0","Default Suite","IntilliDoc_Product_JAN2022","Tests.AuditTest","Tests.AuditTest","setmethod","setmethod",""
"passed","Mon Oct 03 09:58:30 IST 2022","Mon Oct 03 09:58:30 IST 2022","397","Dsuite","Test","Tests.LoginTest","Tests.LoginTest","testloginfunctinality","test_login_functinality","verification_test_log_in_functinality"
"passed","Mon Oct 03 10:01:27 IST 2022","Mon Oct 03 10:01:37 IST 2022","10584","Dsuite","Test","Tests.ProjectModuleTest","Tests.ProjectModuleTest","Create_Project_Without_Selecting_Processing_Engine_And_Template","verify_that_user_able_to_Create_Project_Without_Selecting_Processing_Engine_and_Templates","verify_that_user_able_to_Create_Project_Without_Selecting_Processing_Engine_and_Templates"
"passed","Mon Oct 03 10:00:31 IST 2022","Mon Oct 03 10:00:42 IST 2022","10638","Dsuite","Test","Tests.ProjectModuleTest","Tests.ProjectModuleTest","Search_Created_Project","verify_user_able_to_Search_Created_Project","verify_user_able_to_Search_Created_Project"
"passed","Mon Oct 03 10:01:54 IST 2022","Mon Oct 03 10:02:09 IST 2022","14912","Dsuite","Test","Tests.ProjectModuleTest","Tests.ProjectModuleTest","Create_Project_Without_Without_User","verify_that_user_able_to_Create_Project_without_and_user","verify_that_user_able_to_Create_Project_without_and_user"
"failed","Mon Oct 03 10:00:42 IST 2022","Mon Oct 03 10:01:20 IST 2022","38133","Dsuite","Test","Tests.ProjectModuleTest","Tests.ProjectModuleTest","Update_Created_Project","verify_user_able_to_Update_Created_Project","verify_user_able_to_Update_Created_Project"
"broken","Mon Oct 03 10:04:06 IST 2022","Mon Oct 03 10:04:52 IST 2022","45829","Dsuite","Test","Tests.UserTest","Tests.UserTest","verifyUserableToClickOnActiveRoleToggalButtonInUserTab","verify_user_able_to_click_on_active_role_toggle_button_in_user_tab","verify_user_able_to_click_on_active_role_toggle_button_in_user_tab"
"skipped","Mon Oct 03 10:37:03 IST 2022","Mon Oct 03 10:37:03 IST 2022","0","Dsuite","Test","Tests.CreateRoleTest","Tests.CreateRoleTest","verifyRolewithInvalidData","verify_role_with_invalid_data_details_and_cancel","verify_role_with_invalid_data_details_and_cancel"
"passed","Mon Oct 03 10:00:11 IST 2022","Mon Oct 03 10:00:11 IST 2022","8","Dsuite","Test","Tests.LoginTest","Tests.LoginTest","verification_of_title_ofLoginPage","verification_of_title_logo_and_login_with_blank_details","verification_of_title_logo_and_login_with_blank_details"
"passed","Mon Oct 03 10:05:01 IST 2022","Mon Oct 03 10:05:58 IST 2022","57668","Dsuite","Test","Tests.UserTest","Tests.UserTest","verifyTheTotalCountOfUserinUserTab","verify_the_total_Count_Of_user_in_UserTab","verify_the_total_Count_Of_user_in_UserTab"
"skipped","Mon Oct 03 10:37:05 IST 2022","Mon Oct 03 10:37:05 IST 2022","1","Dsuite","Test","Tests.AnalyticsTest","Tests.AnalyticsTest","verify_Total_Document_CountInProjectStatistics","verify_Total_Document_Count_in_project_statistics"," verify_Total_Document_Countin_project_statistics"
"passed","Mon Oct 03 10:10:57 IST 2022","Mon Oct 03 10:11:06 IST 2022","9316","Dsuite","Test","Tests.DataSetTest","Tests.DataSetTest","verifyAddNewCategory","verify_that_user_is_able_to_add_new_category_on_dataset_page","verify_that_user_is_able_to_add_new_category_on_dataset_page "
"passed","Mon Oct 03 09:59:42 IST 2022","Mon Oct 03 09:59:44 IST 2022","1380","Dsuite","Test","Tests.LoginTest","Tests.LoginTest","testloginfunctinality","test_login_functinality","verification_test_log_in_functinality"
"passed","Mon Oct 03 09:59:58 IST 2022","Mon Oct 03 09:59:58 IST 2022","340","Dsuite","Test","Tests.LoginTest","Tests.LoginTest","testloginfunctinality","test_login_functinality","verification_test_log_in_functinality"
"passed","Mon Oct 03 10:03:32 IST 2022","Mon Oct 03 10:03:56 IST 2022","23820","Dsuite","Test","Tests.UserTest","Tests.UserTest","verifyUserableToCreatNewUserAndVerifyAllTextOfCreatUser","verify_user_able_to_create_new_user_and_verify_all_text_of_create_user"," verify_user_able_to_create_new_user_and_verify_all_text_of_create_user"
"broken","Mon Oct 03 10:00:22 IST 2022","Mon Oct 03 10:00:23 IST 2022","145","Dsuite","Test","Tests.LoginTest","Tests.LoginTest","VerifyForgotPasswerdButtonAndFunctionality","verify click_on_cancel_button_on_forgot_password","verify user able to click_on_cancel_button_on_forgot_password"
"passed","Fri Sep 30 19:07:07 IST 2022","Fri Sep 30 19:07:21 IST 2022","13727","Dsuite","Test","Tests.TemplateTest","Tests.TemplateTest","verifyNewUploadTemplatesButton","verify_validation_type_as_name_to_upload_new_telplates","verify_user_able_to_click_on_Upload_Templates "
"broken","Mon Oct 03 10:37:05 IST 2022","Mon Oct 03 10:37:05 IST 2022","0","Dsuite","Test","Tests.AnalyticsTest","Tests.AnalyticsTest","setmethod","setmethod",""
"passed","Mon Oct 03 10:01:37 IST 2022","Mon Oct 03 10:01:54 IST 2022","16359","Dsuite","Test","Tests.ProjectModuleTest","Tests.ProjectModuleTest","Create_Project_Without_Without_Role_And_User","verify_that_user_able_to_Create_Project_without_Role_and_user","verify_that_user_able_to_Create_Project_without_Role_and_user"
"passed","Fri Sep 30 19:03:30 IST 2022","Fri Sep 30 19:03:44 IST 2022","13582","Dsuite","Test","Tests.AuditTest","Tests.AuditTest","verifyTotalCountOfAuditedAndAuditPendingDoc","verify_total_Count_of_Audited_and_Audit_Pending_documents","verify_total_Count_of_Audited_and_Audit_Pending_documents"
